row_0,Zspotify_track_duration_ms,Zspotify_track_popularity,Zdanceability,Zenergy,Zloudness,Zspeechiness,Zacousticness,Zinstrumentalness,Zliveness,Zvalence,Ztempo
0,-0.22383280423280377,-0.8657667328042332,0.17328928571428565,0.6916093253968256,0.17855046296296354,-0.26100112433862477,-0.560141468253968,-0.1607640873015884,-0.21833928571428546,0.745258134920635,0.07872414021164026
1,-0.37203641536273097,-0.5834607396870557,-1.3040758179231866,-0.7617870554765289,-0.5939627311522051,-0.26259701280227604,0.7669684210526314,-0.18479530583214715,-0.06244608819345664,-0.2472770981507823,1.7322139402560455
2,0.468523252032521,0.5176668292682929,-0.3942841463414635,-0.8682126016260175,-0.22663813008130096,-0.4076035772357725,0.4262148780487807,-0.2057020325203265,-0.3278740650406497,-1.2207929268292688,-0.31205373983739854
3,0.10742093841642215,0.7916879178885607,0.8549478592375355,0.8068614076246339,0.8540477419354842,-0.005714604105571852,-0.6105902639296181,-0.1893581231671545,-0.18199460410557147,0.6876484457478012,-0.18807049853372435
4,-0.05618357558139539,-0.2919808139534886,-0.25600726744186003,0.3496915697674421,0.0480436046511628,-0.003336773255813959,0.07868938953488369,-0.16712398255813857,3.0696677325581367,0.19333430232558133,-0.03914912790697676
5,0.08879495896834692,0.6318038686987103,0.8605969519343494,0.16341524032825316,0.42919202813599105,3.200558264947245,-0.4581465416178199,-0.22530351699882814,0.051172215709261476,-0.1470211019929661,0.03446975381008203
6,0.12507613733905582,0.6386012875536475,-0.6963217167381974,0.8298054935622313,0.8532579399141622,-0.01987081545064377,-0.6871178540772537,-0.19875433476394969,-0.06362866952789702,-0.2750283261802577,1.3738762231759647
7,2.713500218340612,-0.18631244541484712,0.3866133187772928,0.26712991266375546,-0.30927008733624445,-0.09990917030567689,-0.5593458515283846,0.09851091703056758,-0.26410917030567677,0.23971157205240165,0.005942576419214006
8,-0.9099698198198198,-0.8737141891891876,0.06835300300300287,-0.26982274774774745,-0.21525533033033034,-0.2771209459459463,1.1527963963963963,-0.20150450450450547,0.010111261261261282,0.751057582582583,-0.16230810810810795
9,-0.22177567567567552,-0.5842997920997925,0.0771607068607068,-0.05950353430353432,-0.6177301455301454,-0.2066293139293137,0.20120769230769223,4.88356611226611,-0.10431995841995839,0.24099459459459485,0.07352806652806654
10,-0.5319402744148503,-0.723327118644069,-1.0794805488296992,-1.6063108151735264,-1.1984657788539141,-0.45433309120258364,1.5475390637610982,-0.13542994350282528,-0.07365948345439872,-0.9847209039548018,-0.7686429378531081
11,0.04157490377213241,-0.04854464973056204,0.7146645881447262,-0.46109407236335626,-1.0196322555812172,-0.25217174749807514,-0.2781865280985369,-0.14505804464973093,-0.4036774441878368,0.6767849114703621,-0.2754266358737493
12,0.24477991329479748,0.823749277456647,0.02832124277456639,0.49868988439306394,0.8033958815028898,-0.15140122832369954,-0.7011861271676305,-0.20386546242774592,-0.15934067919075118,-0.8643360549132932,-0.5398068641618493
